QCODEID,MCODE,LCODE,RID,FIELDNAME,FROM_DATE,TO_DATE,DATETYPE,QCODE,CONTINUING,SITECODE,DESCRIPTION
4057,MA,1,,NETRAD,11-Apr-2005,12-Apr-2005,R,4089,N,T06,Disconnected net-radiometer wiring to accommodate the replacement of upper dome which had collapsed.  Reconnected 12/04/2005 09:58.
4060,MA,1,,,03-May-2005,03-May-2005,D,4092,N,T06,11:00 to 12:00 cleaned sensors. Kipp solarimeter domes full of condensation.
4061,MA,1,,,05-May-2005,05-May-2005,D,4093,N,T06,13:00 tried changing silica gel in pyranometer but top of canister sheared off.
4062,MA,1,,,10-May-2005,10-May-2005,D,4094,N,T06,10:00 removed pyranometer to send to Campbell for servicing.
4059,MA,1,,NETRAD,22-Apr-2005,17-May-2005,R,4091,N,T06,"Net radiometer removed for servicing 22-Apr-05, re-instated 17-May-05 with logger program updated with new multiplier."
4063,MA,1,,,23-Jun-2005,23-Jun-2005,D,4095,N,T06,"10:00 to 12:00 grass was cut; rain gauge, net-radiometer, albedo sensors, wetness sensor and solar panel were all cleaned.  This whole period should be seen as maintenance as shadows were being cast on aerial sensors throughout the grass cutting."
4159,MA,1,,,11-Jul-2005,11-Jul-2005,D,4133,N,T06,"13:00 to 15:00 - installation of Kipp & Zonen Pyranometer s/n 920700, climbing a ladder.  All aerial sensors on mast will have been affected by human presence i.e. abedo sky/ground, net-radiometer, wind speed/direction."
4160,MA,1,,WETTMP,18-Jul-2005,18-Jul-2005,D,4134,N,T06,09:00 - changed wet bulb wick
4161,MA,1,,,02-Aug-2005,02-Aug-2005,D,4135,N,T06,"12:00 to 13:00 - cleaned aerial sensors: rain gauge, net-radiometer, albedo sky/ground, anemometer, wetness sensor and solar panel."
4162,MA,1,,,01-Sep-2005,01-Sep-2005,D,4136,N,T06,"09:00 to 10:00 - cleaned aerial sensors: net-radiometer, albedo sky/ground, wetness sensor, solar panel."
4176,MA,1,,,03-Oct-2005,03-Oct-2005,D,4148,N,T06,10:00 to 11:00 : Repositioned datalogger which meant undoing wetness sensor.
4177,MA,1,,,10-Oct-2005,10-Oct-2005,D,4149,N,T06,"09:00 to 10:00: cleaned net-radiometer, albedo sky/ground, wetness sensor, rain gauge and solar panel."
4178,MA,1,,,17-Oct-2005,17-Oct-2005,D,4150,N,T06,09:00 to 10:00: changed the aspect of the wetness sensor from approx south-east to north.
4179,MA,1,,,07-Nov-2005,07-Nov-2005,D,4151,N,T06,"14:00 to 16:00: inserted new soil moisture probe at a depth of 20cm (placement
Horizontal) - Water Content Reflectometer type CS616 from Campbell Scientific. Updated DLD instruction program from DB_D3216.DLD to
RB_D3216.DLD"
4180,MA,1,,,01-Nov-2005,07-Nov-2005,D,4152,N,T06,Lost data from 10:00 01/11/2005 to 16:00 07/11/2005 due to fuse blowing during re-wiring connection for soil moisture probe to accommodate CS616.
