QCODEID,MCODE,LCODE,RID,FIELDNAME,FROM_DATE,TO_DATE,DATETYPE,QCODE,CONTINUING,SITECODE,DESCRIPTION
856,MA,1,,STMP30,02-Feb-2000,01-Apr-2000,R,3623,N,T08,"Probe reading 1C too high (ok previous week) on day 31 compared to manual reading, rising to 2.4C by day 81.  Probe disconnected from day 81 to day 91."
879,MA,1,,,25-Aug-2000,25-Aug-2000,D,3645,N,T08,AWS serviced
2132,MA,1,,,07-Nov-2002,07-Nov-2002,D,3800,N,T08,"Serviced AWS, changed 10cm soil temperature offset from -1.34 to -1.66. Altered clock as had been 7 minutes slow."
2812,MA,1,,,01-Jan-2003,01-Jun-2003,R,3861,N,T08,10cm soil data removed by site - probe removed due to out of range readings
3098,MA,1,,,07-Nov-2003,07-Nov-2003,D,3645,N,T08,AWS serviced
3099,MA,1,,,07-Nov-2003,07-Nov-2003,D,3880,N,T08,Wet bulb offset changed from -2.68 to -2.0
3652,MA,1,,,01-Mar-2004,01-Mar-2004,D,3957,N,T08,Wet bulb offset changed from -2.0 to -1.7 after comparison with another AWS running along side and checking in iced water
3769,MA,1,,,13-Aug-2004,13-Aug-2004,D,3977,N,T08,"Plastic domes were replaced as the upper one had been pecked by birds,
and the silica gel was replaced"
3770,MA,1,,,03-Sep-2004,03-Sep-2004,D,3978,N,T08,Silica gel was again replaced as there was a bit of condensation in the domes.
3789,MA,1,,,12-Nov-2004,12-Nov-2004,D,3984,N,T08,"Serviced AWS, wet bulb offset changed from -1.7 to -2.3, 
and dry bulb offset changed from -0.958 to -0.754"
4070,MA,1,,,12-Apr-2005,04-May-2005,R,4102,N,T08,"Dry air temperature missing 12-Apr-2005 22:00 to 21-Apr-2005 11:00. The wick then taken off the wet bulb and this data then used as dry air temp, so wet bulb temp data missing from day 21-Apr-2005 12:00 to day 4-May-2005 10:00."
4193,MA,1,,,29-Jun-2005,19-Oct-2005,R,4163,N,T08,"Problems with rainfall guage due to moisture getting into connector - data missing 29-Jun-2005 11:00 to 6-Jul-2005 04:00, 19-Jul-2005 19:00 to 30-Jul-2005 18:00, 21-Sep-2005 07:00 to 27-Sep-2005 13:00, and 19-Oct-2005 11:00 to 20-Oct-2005 05:00. Roving AWS rainfall data available for period 24-Aug-2005 07:00 to 21-Sep-2005 06:00. A spare rainfall guage was temporarily used from 27-Sep-2005 14:00 to 19-Oct-2005 10:00."
4400,MA,1,,,12-Dec-2005,12-Dec-2005,D,4218,N,T08,"14:00 AWS serviced, no data.  10cm soil temp offset changed from -0.76 to
-0.46. 30cm soil temp offset changed from -0.50 to -0.03."
4953,MA,1,,,03-Oct-2006,03-Oct-2006,D,3645,N,T08,AWS serviced
6408,MA,1,,NETRAD,06-Apr-2008,06-Apr-2008,D,4615,N,T08,"Net radiation reading high, no known reason"
8088,MA,1,,,23-Dec-2010,25-Dec-2010,R,4988,N,T08,Some hours' data missing.
6488,MA,1,,RAIN,01-Jan-2007,31-Dec-2999,R,4641,Y,T08,Rainfall data from the old guage on AWS 01 array is more accurate than on newer AWS 02.
212,MA,1,,WSPEED,04-Jul-1995,01-Aug-1995,R,3195,N,T09,Wind speed values in error due to logger failure - set to null
214,MA,1,,SWATER,17-Oct-1995,17-Oct-1995,D,3197,N,T09,Soil moisture block replaced with new one. No apparent improvement in values...
213,MA,1,,SWATER,01-Sep-1994,31-Dec-1995,R,3196,Y,T09,Soil water values out of range - unreliable
215,MA,1,,RAIN,01-Sep-1994,31-Dec-1995,R,3198,Y,T09,"Rainfall values may be in error, due to water in plug. Decision pending...."
189,MA,1,,ALBGRD,01-Sep-1994,10-Jan-1996,R,3176,Y,T09,"Albedo values derive from instance readings hourly, and NOT hourly means. Corrected to be hourly means from 11.00 on 10-JAN-96"
190,MA,1,,ALBSKY,01-Sep-1994,10-Jan-1996,R,3176,Y,T09,"Albedo values derive from instance readings hourly, and NOT hourly means. Corrected to be hourly means from 11.00 on 10-JAN-96"
376,MA,1,,WSPEED,03-Jan-1997,02-Feb-1997,R,3289,N,T09,Data values unreliable and should not be used.
371,MA,1,,WDIR,01-Jan-1997,10-Mar-1997,R,3284,N,T09,Potentiometer found to be faulty. Reverted to 6 degree resolution wind vane.
372,MA,1,,WETTMP,01-Jan-1997,10-Mar-1997,R,3285,N,T09,Programming error found which has been causing an over-reading of 0.4 degrees.
373,MA,1,,DRYTMP,01-Jan-1997,10-Mar-1997,R,3286,N,T09,Programming error found which has been causing an over-reading of 0.65 degrees.
374,MA,1,,WETTMP,03-May-1997,29-May-1997,R,3287,N,T09,Wet bulb resevoir dried out sometime during 3 - 29 May. Values unreliable.
375,MA,1,,WETTMP,31-Aug-1997,18-Sep-1997,R,3288,N,T09,Wick did not reach bottom of wet bulb resevoir. Values unreliable.
659,MA,1,,NETRAD,04-Apr-1998,05-May-1998,R,3471,N,T09,Net radiometer dome broken by heavy rain on 4/4/98.  Dome replaced 5/5/98
660,MA,1,,RAIN,01-Apr-1998,30-Jun-1998,R,3472,N,T09,Rain is over-reading by 4% in comparison with manual guage
661,MA,1,,,01-Aug-1998,03-Aug-1998,R,3473,N,T09,"Electrical storm on 1/8/98 damaged logger. Error codes in data from 2/8/98 to 3/8/98. Communication problems from 3/8/98, leading to some missing data."
783,MA,1,,SWATER,03-Jul-1999,04-Jul-1999,R,3561,N,T09,No soil moisture reading as a result of electrical testing.
782,MA,1,,,06-Jul-1999,06-Jul-1999,D,3560,N,T09,Net radiometer domes and silica gel replaced (routine). Radiation screen was also cleaned.
1272,MA,1,,,30-Jan-2001,31-Mar-2001,R,3733,Y,T09,"Where wet bulb temperature is greater than dry bulb, this is due to differential cooling/heating effects around 0 degrees C."
2152,MA,1,,,15-Nov-2002,15-Nov-2002,D,3802,N,T09,net radiometer replaced
2153,MA,1,,,05-Dec-2002,05-Dec-2002,D,3803,N,T09,"Sensor recalibration.  recalibration applied from this date for dry bulb.
        dry old: 0,40,-0.3,39.7 new: 0,40,0.1,40.1
This new calibration should probably be applied retrospectively, but as no date can be determined, it is only applied from day 339, 2002."
2852,MA,1,,,28-Apr-2003,29-Apr-2003,R,3865,N,T09,data missing due to logger problems
2853,MA,1,,,15-May-2003,15-May-2003,D,3865,N,T09,data missing due to logger problems
2854,MA,1,,,08-Jun-2003,30-Jun-2003,R,3866,Y,T09,Net radiometer data after day 159 are dubious as a result of bird damage to the radiometer dome
2855,MA,1,,,10-Aug-2003,10-Aug-2003,D,3867,N,T09,"Logger problems because of the hot weather on day 222. Data have been infilled with 5 minute instantaneous readings which are polled to a display unit from the same weather station. This activity was not affected, although the windspeed counter channel failed."
3033,MA,1,,,10-Aug-2003,11-Aug-2003,R,3877,N,T09,Logger stopped because of the hot weather on day 222 17:00 to 223 10:00
2856,MA,1,,,29-Aug-2003,02-Sep-2003,R,3868,N,T09,"Net radiometer replaced on day 241, although the new calibration values were
not set until 0900 on day 245. According to site, the new calibration was clearly in error, and all values were recalculated assuming the previous calibration. Corrections may need to be made to these data. The incorrect span is 16.01 mv/kW, conpared with the previous calibration of 8.96 mv/kW."
2857,MA,1,,,27-Aug-2003,11-Sep-2003,R,3869,N,T09,The raingauge was found to be blocked on day 254. Site compared with the manual data.  This indicated that it was functioning until day 239. Raindata between days 239 and 254 were deleted by site.
3032,MA,1,,,24-Nov-2003,24-Nov-2003,D,3876,N,T09,"Net radiometer replaced again on day 328. New calibration of 12.38 mv/KW
(apparantly) replacing old calibration of 16.01 mv/KW. I still have concerns
that this is incorrect, as the net:global ration is approx 0.45 compared to
0.55-0.62 for all other data. The original calibration has therefore been
retained: ELE will be contacted again over the calibration. These data are 
therefore potentially liable to change."
3791,MA,1,,,17-Mar-2004,18-Mar-2004,R,3986,N,T09,16 hours data loss as a result of logger problems.
3792,MA,1,,,24-Aug-2004,08-Sep-2004,R,3987,N,T09,"Lightening strike led to communications port failure (RS485), and the loss of 4 hours data. Dry bulb readings to 08/09/04 were affected, presumably as a result of terminal corrosion. Terminals tightened up, and logger test command indicates that all is OK."
3790,MA,1,,,01-Jan-2004,31-Dec-2004,R,3985,Y,T09,Continuing concern over net radiation calibration.
3793,MA,1,,,01-Sep-2004,31-Dec-2004,R,3988,Y,T09,"Treat dry temp with caution - fits well with manual reading, but dry temp falling below wet temp on occasions. Re-calibration may be required."
4164,MA,1,,NETRAD,10-Jan-2005,10-Jan-2005,D,4138,N,T09,Dome changed on net radiometer as a result of crow damage.
4163,MA,1,,,28-Jan-2005,28-Jan-2005,D,4137,N,T09,"11:00 - temperature calibration - dry bulb: from 0,40,0.1,40.1 to 0.1,40.6,0.1,40.5;  wet bulb: from 0,40,-0.4,39.6 to 0.1,40.5,0.1,40.6"
4165,MA,1,,,07-May-2005,07-May-2005,D,4139,N,T09,Time on sunshine duration and atmospheric pressure logger advanced by 14 minutes.  Sunshine duration appears to have slipped relative to manual readings; need to check BF2 sensor for moisture.
4166,MA,1,,,01-Jan-2005,30-Jun-2005,D,4140,N,T09,Continuing concern over calibration of net radiometer.  Intermittant fault on anemometer - poor electrical connection - corrected late June and erroneous data deleted.  Intermittant fault on soil temperature probe - need to check insulation - appears to coincide with surface wetness indicator reading high. Erroneous data deleted.
4244,MA,1,,SWATER,22-Oct-2005,22-Oct-2005,D,4173,N,T09,No soil moisture reading for 3 hours on day 295 as a result of an interruption in power supply.
4243,MA,1,,,19-Nov-2005,10-Dec-2005,R,4172,N,T09,Data loss from 1600 on day 320 to 1200 on day 344 as a result of operator error during downloading.
4245,MA,1,,WSPEED,01-Mar-2005,31-Dec-2005,R,4174,Y,T09,Wind speed data from the beginning of March are dubious as there is significant discrepancy with manual data. Currently under investigation.
5229,MA,1,,,30-Oct-2006,30-Oct-2006,D,4400,N,T09,"Temperature calibration (wet and dry bulb) changed as follows at 14.20 GMT on 30/10/2006:
Ref P7 Experiemntal Note Book RB023
Dry bulb: from: 0.1,40.6,0.1,40.5 to: 0.0,40.8,-0.4,39.7
Wet bulb from: 0.1,40.5,0.1,40.6 to: 0.0,40.6,-0.8,39.5"
5230,MA,1,,NETRAD,12-Dec-2006,12-Dec-2006,D,4401,N,T09,09.00 GMT Net radiometer removed and domes replaced
5231,MA,1,,NETRAD,13-Dec-2006,13-Dec-2006,D,4402,N,T09,14:30 GMT Net radiometer replaced
5232,MA,1,,,01-Jan-2006,31-Dec-2006,R,4403,N,T09,Intermittent fault with soil temperature probe
7168,MA,1,,,07-Aug-2009,31-Dec-2009,R,4761,N,T09,"Gaps in date from day 219 (7-Aug) to 325 (21-Nov) and 345 (11-Dec) to end of year, due to logger problems."
3094,MA,1,,,19-Dec-2001,02-Jan-2002,R,3879,N,T10,Failure in transfer from logger to PC
3095,MA,1,,,06-Feb-2002,07-Feb-2002,R,3879,N,T10,Failure in transfer from logger to PC
3096,MA,1,,,24-Apr-2002,09-May-2002,R,3879,N,T10,Failure in transfer from logger to PC
3097,MA,1,,,23-Oct-2002,30-Oct-2002,R,3879,N,T10,Failure in transfer from logger to PC
3093,MA,1,,,02-Jan-2003,12-Feb-2003,R,3574,N,T10,Data missing due to battery failure
3092,MA,1,,,26-Feb-2003,26-Feb-2003,D,3645,N,T10,AWS serviced
4688,MA,1,,,01-Apr-2003,01-Apr-2003,D,4297,N,T10,AWS serviced in April 2003.
4689,MA,1,,,01-Oct-2005,01-Oct-2005,D,4298,N,T10,AWS serviced in October 2005.
521,MA,1,,NETRAD,06-Dec-1997,23-Dec-1997,R,3390,N,T11,Net Radiometer domes replaced after failure.
522,MA,1,,WDIR,24-Dec-1997,31-Dec-1997,R,3391,N,T11,Wind Vane arm found twisted 45 degrees anticlockwise by strong winds. Realigned.
523,MA,1,,WETTMP,21-Jan-1998,21-Jan-1998,D,3392,N,T11,Wet bulb probe replaced.
524,MA,1,,SURWET,28-Jan-1998,28-Jan-1998,D,3393,N,T11,Surface wetness probe moved from top of data logger to grass level position 2m W of AWS tripod
3552,MA,1,,,16-Jan-2003,16-Jan-2003,D,3926,Y,T11,Started downloading data with storage module
3553,MA,1,,,30-May-2003,30-May-2003,D,3927,N,T11,"Removed anemometer for maintenance 14:40, anemometer reconnected 14:15"
3554,MA,1,,,18-Jul-2003,18-Jul-2003,D,3928,N,T11,"11:00, 13:00 and 14:00 - calibrated and changed dry temp probe"
3555,MA,1,,,21-Jul-2003,21-Jul-2003,D,3929,Y,T11,10:00 - all temperature probes changed mv excitation from 2500 to 2035. Can now record up to 50oC
3556,MA,1,,,26-Aug-2003,26-Aug-2003,D,3930,Y,T11,10:00 - started download using iPAQ(stopped using telemetry)
3557,MA,1,,,10-Oct-2003,10-Oct-2003,D,3931,Y,T11,13:00 - first time programme changed
3558,MA,1,,,16-Oct-2003,16-Oct-2003,D,3932,Y,T11,15:00 and 18:00 - changed programme
3559,MA,1,,,20-Oct-2003,20-Oct-2003,D,3933,Y,T11,17:00 - changed programme
3561,MA,1,,,23-Oct-2003,23-Oct-2003,D,3935,Y,T11,09:00 - changed programme (rewrote it to add time and hourly max gust)
3562,MA,1,,,24-Oct-2003,24-Oct-2003,D,3936,Y,T11,10:00 - changed programme
3563,MA,1,,,29-Oct-2003,29-Oct-2003,D,3937,Y,T11,15:00 - changed programme (rain and gust in separate table)
3564,MA,1,,,30-Oct-2003,30-Oct-2003,D,3938,Y,T11,15:00 - changed programme
3565,MA,1,,,31-Oct-2003,31-Oct-2003,D,3939,Y,T11,11:00 - changed programme
3566,MA,1,,,03-Nov-2003,03-Nov-2003,D,3940,Y,T11,14:00 - changed programme
3568,MA,1,,,12-Nov-2003,12-Nov-2003,D,3940,Y,T11,14:00 - changed programme
3569,MA,1,,,14-Nov-2003,14-Nov-2003,D,3942,Y,T11,11:00 - uploaded new programme SNO 13A
3570,MA,1,,,25-Nov-2003,25-Nov-2003,D,3297,Y,T11,New raingauge installed.
3560,MA,1,,,22-Oct-2003,08-Dec-2003,R,3934,N,T11,12:00 - rainfall data probably wrong from here in original programme put back 8-12-2003 at 15:00
3571,MA,1,,,08-Dec-2003,08-Dec-2003,D,3943,Y,T11,15:00 - uploaded old programme SNOBAC to try and correct rainfall
3572,MA,1,,,10-Dec-2003,10-Dec-2003,D,3944,Y,T11,13:00 and 14:00 - calibrated temp probes
3573,MA,1,,,17-Dec-2003,17-Dec-2003,D,3945,Y,T11,14:00 - changed over wet thermometor and calibrated wet and dry
4204,MA,1,,NETRAD,09-Nov-2005,09-Nov-2005,D,4170,Y,T11,Net radiometer taken down 9-Nov-2005 14:00 as had been broken by hail in preceding week
4203,MA,1,,,05-Oct-2005,31-Dec-2005,R,4169,Y,T11,"Theta probe data suspect, step change 5-Oct-2005 13:00 and negative readings end of year."
7272,MA,1,,NETRAD,02-Mar-2006,04-Mar-2006,R,4804,N,T11,High negative net radiation readings (to -206.6) but no reason to suspect instrumentation
7688,MA,1,,,26-Apr-2006,26-Apr-2006,D,4906,N,T11,Theta probe fixed
7689,MA,1,,,13-Aug-2008,20-Aug-2008,R,4907,N,T11,Faulty connection
7273,MA,1,,,01-Jan-2009,31-Dec-2009,R,4805,N,T11,Several outages during the year due to power loss and vandalism
9368,MA,1,,,27-Jan-2010,30-Jan-2010,R,5130,N,T11,27- to 30-Jan-2010 - data lost except for 2 hours which are suspect
9369,MA,1,,,16-Aug-2010,03-Feb-2011,R,5131,N,T11,"Logger stolen, no data"
9372,MA,1,,,16-Aug-2010,03-Feb-2011,R,5134,N,T11,Dry temperature and relative humidity data available from TinyTag logger.
9370,MA,1,,,03-Feb-2011,31-Dec-2999,R,5132,Y,T11,"New data logger installed on day 34 1500.
Wet bulb and dry bulb sensors not attached.
Surface wetness sensor giving incorrect readings until 117 1300, accurate from then onwards.
Wind speed and wind direction giving erroneous readings until day 68 at 1600, accurate from then onwards.
No Albedo sky or grass minimum recorded."
9371,MA,1,,,03-Feb-2011,31-Dec-2999,R,5133,Y,T11,"Soil water content data from day 34 at 1500 from a Campbell CS616 Water Content Reflectometer rather than a Theta probe.
Net radiation instrument changed from Q7 to NR_Lite Net Radiometer."
1013,MA,1,,,09-Aug-1999,11-Aug-1999,R,3682,N,T12,Data missing - general failure of voltage
1012,MA,1,,RAIN,23-Jun-1999,13-Aug-1999,R,3681,N,T12,All data for rainfall suspect - tipping bucket apparently not working
1015,MA,1,,,13-Aug-1999,13-Aug-1999,R,3682,N,T12,Data missing - general failure of voltage
1014,MA,1,,RAIN,13-Aug-1999,11-May-2000,R,3681,N,T12,All data for rainfall suspect - tipping bucket apparently not working
1016,MA,1,,,29-Jun-2000,29-Jun-2000,D,3683,N,T12,AWS serviced - fault with tipping bucket corrected
3859,MA,1,,,26-Mar-2004,07-Apr-2004,R,4011,N,T12,Logger being reprogrammed
3858,MA,1,,,28-Jun-1999,01-Nov-2004,R,4010,Y,T12,Clock on AWS has been set to BST in summer (re-set to GMT 01-Nov-04 at 12:00)
4338,MA,1,,RAIN,21-Sep-2005,21-Sep-2005,D,4192,N,T12,"AWS calibrated 21-Sep-2005 14:00-15:00.  Rain for 15:00 removed, any reading was water poured through rainguage was calibrated/tested."
4334,MA,1,,RAIN,01-Dec-2005,01-Dec-2005,D,4188,N,T12,"08:00 rain recorded as 26.6, next nearest value for year was 12.  High rainfall week according to manual met records, however."
4335,MA,1,,STMP30,01-Jan-2005,31-Dec-2005,R,4189,Y,T12,30cm temperature probe readings suspect - seem high compared to the 10cm probe.
4337,MA,1,,,01-Jan-2005,31-Dec-2005,R,4191,Y,T12,"Difference between wet and dry temperature probes not very consistent, varies between -0.44 to 3.05.  Suspect this is partly due to the wet wick drying out, but not noted when the reservoir was topped up."
5630,MA,1,,,17-Jul-2007,12-Sep-2007,R,4506,N,T12,The original AWS became inactive on 17/07/2007 (due to a fault).  The new weather station was erected on 12/09/2007.  Unfortunately this meant there was no opportunity to run the two in parallel for comparison.
6548,MA,1,,RAIN,01-Jan-2008,04-Apr-2008,R,4647,N,T12,Issues with the tipping bucket at the start of the year.  Data for rainfall between 1-Jan-2008 and 4-Apr-2008 omitted.
7650,MA,1,,,30-Mar-2009,30-Mar-2009,D,4898,N,T12,"2 hr downtime 1200-1400, no data."
7651,MA,1,,,07-Jul-2009,07-Jul-2009,D,4899,N,T12,"AWS serviced (sensor changed accept TB and wind vane),  2hr downtime 1200-1400"
7652,MA,1,,,29-Jul-2009,03-Aug-2009,R,4900,N,T12,System failure (reindeer chewed through power cable).
7653,MA,1,,NETRAD,29-Jul-2009,21-Oct-2009,R,4901,N,T12,NR Lite sensor faulty (reindeer damage (chewed through cable))
7654,MA,1,,,01-Jan-2009,31-Dec-2009,R,4902,N,T12,Anemometer cups often frozen through winter months.
8830,MA,1,,,11-Jan-2011,16-Mar-2011,R,5063,N,T12,"WSPEED & WDIR FROZEN: Days
11 (1100 to 0000)
26 (2300) to 29 (1100)
45 (0100 to 0400) + (0700 to 0800) + (1000)
72 (1700) to 75 (1400)"
8829,MA,1,,,28-Sep-2011,23-Nov-2011,R,5062,N,T12,"WSPEED & WDIR FAULTY: Days
271 (0900) to 272 (0000)
272 (1500)
273 (0100 to 0200) + (0500 to 1900)
275 (1600 to 1700)
278 (0600 to 1600)
281 (1300) to Day 282 (2000)
282 (2300)
283 (1200 to 1600)
284 (1100 to 1300)
285 (1200) to 289 (1800)
289 (2100) to 290 (0500)
292 (1400) to 299 (1100)
311 (1200 to 1500)
322 (0100) to 323 (0400)
323 (1100 to 1500)
324 (0400 to 0800) + (1100 to 1500)
325 (0300 to 0400) + (1000 to 1600)
327 (0200) to 335 (1200)"
8831,MA,1,,,01-Jan-2011,01-Dec-2011,R,5064,N,T12,"WSPEED & WDIR SENSOR REPLACED DAY 299 (REPAIRED AND RE-DEPLOYED DAY 306) AND SENSOR REPLACED DAY 335.
NETRAD FAULTY: Day 1 (0100) to Day 47 (1300)
ALL SENSORS CHANGED 	DAY 243 (1300)"
